feature,gain
Contract,10316.248075962067
tenure,2144.1075570583344
MonthlyCharges,2047.4136846065521
OnlineSecurity,1441.6979060173035
TotalCharges,981.2850468158722
TechSupport,769.7170903682709
InternetService,702.9692244529724
PaperlessBilling,296.1922619342804
PaymentMethod,252.351149559021
StreamingMovies,221.8371992111206
MultipleLines,194.51399064064026
SeniorCitizen,152.59500885009766
gender,152.50993967056274
OnlineBackup,108.06757926940918
PhoneService,75.64725089073181
StreamingTV,46.61885976791382
DeviceProtection,39.149291038513184
Dependents,22.140960693359375
Partner,8.987369537353516
