feature,mean_abs_shap
Contract,0.6314224864974771
MonthlyCharges,0.20851845623797718
tenure,0.19693441606936188
OnlineSecurity,0.1356167081683067
TechSupport,0.10601569206020829
TotalCharges,0.058715308800737456
InternetService,0.05680879678916042
StreamingMovies,0.04515365447502663
PaperlessBilling,0.03974064750625004
MultipleLines,0.024674623324721468
SeniorCitizen,0.019384726541293994
PaymentMethod,0.01786191045412367
OnlineBackup,0.011261631704901342
PhoneService,0.009133645492718325
gender,0.008122837624100102
StreamingTV,0.005144008543841557
DeviceProtection,0.004720228715632907
Dependents,0.0019470739298895888
Partner,0.0005736036907515109
